,Close Price,Date
720,28.58,28-5-2003
721,29.1,29-5-2003
722,29.559998999999998,30-5-2003
723,30.709999,2-6-2003
724,30.67,3-6-2003
725,30.049999,4-6-2003
726,31.280001000000002,6-6-2003
727,31.450001,9-6-2003
728,31.73,10-6-2003
729,32.360001000000004,11-6-2003
730,31.51,12-6-2003
731,30.65,13-6-2003
732,31.18,16-6-2003
733,31.07,17-6-2003
734,29.959999,19-6-2003
735,30.82,20-6-2003
736,29.17,23-6-2003
737,28.780001000000002,24-6-2003
738,29.950001,25-6-2003
739,29.01,26-6-2003
740,29.27,27-6-2003
741,30.190001000000002,30-6-2003
742,30.4,1-7-2003
743,30.15,2-7-2003
744,30.42,3-7-2003
745,30.129998999999998,7-7-2003
746,30.219998999999998,8-7-2003
747,30.879998999999998,9-7-2003
748,31.280001000000002,11-7-2003
749,31.27,14-7-2003
750,31.620001000000002,15-7-2003
751,31.049999,16-7-2003
752,31.41,17-7-2003
753,31.959999,18-7-2003
754,31.780001000000002,21-7-2003
755,30.190001000000002,22-7-2003
756,29.67,23-7-2003
757,30.219998999999998,24-7-2003
758,30.17,25-7-2003
759,30.110001,28-7-2003
760,30.24,29-7-2003
761,30.68,30-7-2003
762,30.540001,31-7-2003
763,32.310001,1-8-2003
764,31.84,4-8-2003
765,32.220001,5-8-2003
766,32.389998999999996,7-8-2003
767,32.18,8-8-2003
768,32.009997999999996,11-8-2003
769,31.92,12-8-2003
770,30.780001000000002,13-8-2003
771,31.09,14-8-2003
772,31.049999,15-8-2003
773,30.889999,18-8-2003
774,30.700001,19-8-2003
775,30.950001,20-8-2003
776,31.879998999999998,21-8-2003
777,31.84,22-8-2003
778,31.559998999999998,25-8-2003
779,31.5,28-8-2003
780,31.57,29-8-2003
781,29.41,2-9-2003
782,29.49,3-9-2003
783,28.98,4-9-2003
784,28.879998999999998,5-9-2003
785,28.85,8-9-2003
786,29.18,9-9-2003
787,29.35,10-9-2003
788,28.82,11-9-2003
789,28.27,12-9-2003
790,28.139999,15-9-2003
791,27.559998999999998,16-9-2003
792,27.030001000000002,17-9-2003
793,27.17,18-9-2003
794,27.030001000000002,19-9-2003
795,27.129998999999998,23-9-2003
796,28.24,24-9-2003
797,28.290001,25-9-2003
798,28.16,26-9-2003
799,28.4,29-9-2003
800,29.200001,30-9-2003
801,29.389999,1-10-2003
802,29.84,2-10-2003
803,30.4,3-10-2003
804,30.469998999999998,6-10-2003
805,30.41,7-10-2003
806,29.809998999999998,8-10-2003
807,31.01,9-10-2003
808,31.969998999999998,10-10-2003
809,31.950001,13-10-2003
810,31.82,14-10-2003
811,31.540001,16-10-2003
812,30.68,17-10-2003
813,30.299999,23-10-2003
814,30.16,24-10-2003
815,29.92,27-10-2003
816,29.559998999999998,28-10-2003
817,28.91,29-10-2003
818,28.469998999999998,30-10-2003
819,29.110001,31-10-2003
820,28.9,3-11-2003
821,28.75,4-11-2003
822,30.299999,5-11-2003
823,30.26,6-11-2003
824,30.85,7-11-2003
825,31.15,11-11-2003
826,31.9,13-11-2003
827,31.73,17-11-2003
828,33.279999,18-11-2003
829,32.919998,19-11-2003
830,32.860001000000004,20-11-2003
831,29.74,24-11-2003
832,29.77,25-11-2003
833,30.41,26-11-2003
834,29.950001,1-12-2003
835,30.780001000000002,2-12-2003
836,31.1,3-12-2003
837,31.26,4-12-2003
838,30.73,5-12-2003
839,32.099998,8-12-2003
840,31.76,9-12-2003
841,31.879998999999998,10-12-2003
842,31.85,11-12-2003
843,33.040001000000004,12-12-2003
844,33.18,15-12-2003
845,32.889998999999996,16-12-2003
846,33.349998,17-12-2003
847,33.709998999999996,18-12-2003
848,33.02,19-12-2003
849,31.870001000000002,22-12-2003
850,31.950001,23-12-2003
851,32.860001000000004,24-12-2003
852,32.400002,29-12-2003
853,32.52,31-12-2003
854,33.779999,5-1-2004
855,33.700001,6-1-2004
856,33.619999,7-1-2004
857,33.98,8-1-2004
858,34.310001,9-1-2004
859,34.43,13-1-2004
860,34.5,14-1-2004
861,33.439999,15-1-2004
862,35.07,16-1-2004
863,36.200001,20-1-2004
864,34.580002,21-1-2004
865,34.93,22-1-2004
866,34.939999,23-1-2004
867,34.470001,26-1-2004
868,34.119999,27-1-2004
869,33.049999,30-1-2004
870,34.099998,3-2-2004
871,33.099998,4-2-2004
872,32.48,6-2-2004
873,32.830002,9-2-2004
874,33.869999,10-2-2004
875,34.0,11-2-2004
876,33.98,12-2-2004
877,34.560001,13-2-2004
878,35.16,17-2-2004
879,35.450001,18-2-2004
880,36.0,19-2-2004
881,35.599998,20-2-2004
882,34.349998,23-2-2004
883,34.580002,24-2-2004
884,35.509997999999996,26-2-2004
885,36.16,27-2-2004
886,36.860001000000004,1-3-2004
887,36.66,2-3-2004
888,36.639998999999996,4-3-2004
889,37.259997999999996,5-3-2004
890,36.57,8-3-2004
891,36.279999,9-3-2004
892,36.099998,10-3-2004
893,36.779999,11-3-2004
894,36.189999,12-3-2004
895,37.439999,15-3-2004
896,37.48,16-3-2004
897,38.18,17-3-2004
898,38.080002,19-3-2004
899,37.110001000000004,22-3-2004
900,37.450001,23-3-2004
901,37.009997999999996,24-3-2004
902,35.509997999999996,25-3-2004
903,35.450001,29-3-2004
904,36.25,30-3-2004
905,35.759997999999996,31-3-2004
906,34.27,1-4-2004
907,34.389998999999996,2-4-2004
908,34.380001,5-4-2004
909,34.970001,6-4-2004
910,36.150002,7-4-2004
911,37.139998999999996,8-4-2004
912,37.84,12-4-2004
913,37.209998999999996,13-4-2004
914,36.720001,14-4-2004
915,37.57,15-4-2004
916,37.419998,19-4-2004
917,37.599998,20-4-2004
918,35.73,21-4-2004
919,36.709998999999996,22-4-2004
920,36.459998999999996,23-4-2004
921,36.970001,26-4-2004
922,37.529999,27-4-2004
923,37.459998999999996,28-4-2004
924,37.310001,29-4-2004
925,38.209998999999996,3-5-2004
926,39.57,5-5-2004
927,39.369999,6-5-2004
928,39.93,7-5-2004
929,38.93,10-5-2004
930,40.060001,11-5-2004
931,41.080002,13-5-2004
932,41.380001,14-5-2004
933,41.549999,17-5-2004
934,40.540001000000004,18-5-2004
935,40.919998,20-5-2004
936,39.93,21-5-2004
937,41.720001,24-5-2004
938,41.139998999999996,25-5-2004
939,40.700001,26-5-2004
940,39.439999,27-5-2004
941,39.880001,28-5-2004
942,39.959998999999996,2-6-2004
943,39.279999,3-6-2004
944,38.490002000000004,4-6-2004
945,38.66,7-6-2004
946,37.279999,8-6-2004
947,37.540001000000004,9-6-2004
948,38.450001,10-6-2004
949,37.59,14-6-2004
950,37.189999,15-6-2004
951,38.459998999999996,17-6-2004
952,38.75,18-6-2004
953,37.630001,21-6-2004
954,38.110001000000004,22-6-2004
955,37.57,23-6-2004
956,37.93,24-6-2004
957,36.240002000000004,28-6-2004
958,35.66,29-6-2004
959,37.049999,30-6-2004
960,38.740002000000004,1-7-2004
961,38.389998999999996,2-7-2004
962,39.650002,6-7-2004
963,39.080002,7-7-2004
964,40.330002,8-7-2004
965,39.959998999999996,9-7-2004
966,39.5,12-7-2004
967,40.970001,14-7-2004
968,40.77,15-7-2004
969,41.25,16-7-2004
970,41.639998999999996,19-7-2004
971,40.860001000000004,20-7-2004
